codigo,descricao
4.09.00000002691,JOGO CH ALLEN L GED 1,5?10MM 42L/9M
4.09.00000002738,PISTOLA INJETORA DE SILICONE
4.09.00000002790,BROCA DE ACO HSS 08MM
4.09.00000002848,ESTICADOR MANUAL P/ FITA DE POLIESTER 3/8 A 3/4
4.09.00000002849,FITA PET P/ ARQUEAR 16MM 780 METROS
4.09.00000002850,FECHO DENTANDO DE AÄO INOX 430 3/4'' (19MM) SEM REVESTIMENTO, PACOTE COM 1000 UNIDADES
4.09.00000002899,PA SX MA 8.8 EN 16X100 RI
4.09.00000002908,PA SEXTAVADO MA 8.8 EN 16X35 RI
4.09.00000002995,TALHA COMPAC.SC 1TON 3ELEV
4.09.00000002TON,MACACO BONEVAU JACARê 2 TON
4.09.00000003148,CHAVE ALLEN 2.0MM
4.09.00000003155,CHAVE ALLEN 2.5MM
"4.09.00000003294,QUADRADO P/ CATRACA 3/4"""
"4.09.00000003419,SOQUETE SEXTAVADO IMPACTO 3/4"" X 19MM CURTO"
4.09.000000034MM,SOQEUTE SEXTAVADO 1/2 POL. 34MM FER: 4.09.34MM
4.09.00000003508,CHAVE ESTRELA ( ESTRIA ) 18 X 19 MM REF. GEDORE 2 - 18 X 19
4.09.00000003510,CHAVE ESTRELA ( ESTRIA ) 20 X 22 MM REF. GEDORE 2 - 20 X 22
4.09.00000003511,CHAVE ESTRELA ( ESTRIA ) 21 X 23 MM REF. GEDORE 2 - 21 X 23
4.09.00000003512,CHAVE ESTRELA ( ESTRIA ) 24 X 26 MM REF. GEDORE 2 - 24 X 26
4.09.00000003514,CHAVE ESTRELA ( ESTRIA ) 25 X 28 MM REF. GEDORE 2 - 25 X 28
4.09.00000003515,CHAVE ESTRELA ( ESTRIA ) 27 X 32 MM REF. GEDORE 2 - 27 X 32
"4.09.00000003554,CHAVE ESTRELA ( ESTRIA ) 5/8 X 11/16"" REF. GEDORE 2 - 5/8 X 11/16"""
"4.09.00000003557,CHAVE ESTRELA ( ESTRIA ) 3/8 X 7/16"" REF. GERORE 2 - 3/8 X 7/16"""
"4.09.00000003558,CHAVE ESTRELA ( ESTRIA ) 13/16  X 7/8"" REF. GEDORE 2 - 13/16 X 7/8"""
"4.09.00000003559,CHAVE ESTRELA ( ESTRIA ) 15/16 X 1"" REF. GEDORE 2 - 15/16 X 1"""
"4.09.00000003561,CHAVE ESTRELA ( ESTRIA ) 1.1/16 x 1.1/4"" REF. GEDORE 2 - 1.1/16 x 1.1/4"""
4.09.00000003653,TALHA ALAVANCA MANUAL 1.50T X 1.5M
4.09.00000003766,EXTENS«O ENCAIXE 3/8 - 10POL 3090 - GEDORE
4.09.00000003813,SERRA ESQUADRIA 7.1/4 Pol. 850W 220V
4.09.00000003814,SOQUETE ESTRIADO 3/8'' DE 3/4''
4.09.00000003841,MARTELO UNHA 29MM STHT51371-840 
4.09.00000003845,SOQUETE IMPACTO 30 SEX ENC.3/4
4.09.00000003878,SOQUETE ESTRIADO 3/8'' DE 7/8''
4.09.00000003879,GAL«O DE COMBUST÷VEL 5L
4.09.00000003880,KIT CHAVE DE IMPACTO
4.09.00000003881,TOCHA TBI PRO 453  EXPERT 5,0M
4.09.00000003882, KIT CARREGADOR C/2 BATERIAS 5AH 20V + BOLSA
4.09.00000003884,CHAVE FIXA 10MM IEC 44320/010
4.09.00000003885,CABO DE MADEIRA COM PUNHO METALICO
4.09.00000003886,PC VALVULA DE CONTROLE DE OLEO COM MEDIDOR DIGITAL 46201
4.09.00000003887,PC CARRO HIDRAULICO PARA TRANSPORTE DE TAMBOR 200L
4.09.00000003888,GARRA NEGATIVA P/ATERRAMENTO 800A BRONZE 805 ULTRA
4.09.00000003889,JOGO DE BROCAS AR POL 1/16 - 1/2  29PCS
"4.09.00000003890,CHAVE PARA MANDRIL 3/4"" - 20MM E 1"" - 26MM"
4.09.00000003891,FORCADO PARA PEDRA 08 DENTES
4.09.00000003892,CARRINHO P/ BATERIA ERP20UX 1028X490X ROLETE 173 MM
4.09.00000003893,SUPORTE TRIPLO P/ CARREG. E BATERIA ERP20UX 1028X490X ROLETE 173 MM
4.09.00000003894,CARRINHO P/ BATERIA MP20X 624X284 ROLETE 120 MM
4.09.00000003895,SUPORTE TRIPLO P/ CARREG. E BATERIA MP20X 624X284 ROLETE 120 MM
